model,source,target,row,kind,features,random_indices,original_score,named_drop,random_drop,advantage
HuggingFaceTB/SmolLM2-1.7B-Instruct,unsw,unsw,366286,detector,"['tcp_win_max_in', 'icmp_ipv4_type', 'longest_flow_pkt']","[[37, 21, 31], [8, 15, 38], [7, 35, 5]]",0.9999971985816956,4.649162292480469e-06,1.5099843343469033e-06,3.1391779581335655e-06
HuggingFaceTB/SmolLM2-1.7B-Instruct,unsw,unsw,1871037,detector,"['tcp_win_max_in', 'num_pkts_1024_to_1514_bytes', 'num_pkts_up_to_128_bytes']","[[8, 7, 33], [7, 34, 9], [12, 34, 18]]",0.9999933242797852,1.2993812561035156e-05,-2.0066897074011436e-06,1.50005022684363e-05
HuggingFaceTB/SmolLM2-1.7B-Instruct,unsw,ids2018,5124375,detector,"['tcp_win_max_out', 'icmp_ipv4_type', 'retransmitted_in_bytes']","[[37, 38, 4], [20, 19, 12], [10, 0, 9]]",0.9942553043365479,0.08556663990020752,0.004897216955820682,0.08066942294438684
HuggingFaceTB/SmolLM2-1.7B-Instruct,ids2018,unsw,1236137,detector,"['max_ttl', 'src_to_dst_avg_throughput', 'num_pkts_up_to_128_bytes']","[[18, 29, 32], [24, 1, 35], [22, 0, 32]]",0.9997088313102722,0.004702925682067871,3.669659296667849e-05,0.004666229089101193
HuggingFaceTB/SmolLM2-1.7B-Instruct,ids2018,unsw,1245641,detector,"['max_ttl', 'min_ttl', 'flow_duration_milliseconds']","[[16, 6, 33], [33, 8, 15], [19, 8, 31]]",0.9995256662368774,0.8045023679733276,0.0019606749216715125,0.8025416930516561
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,181574,detector,"['in_pkts', 'longest_flow_pkt']","[[33, 10], [32, 37], [2, 30]]",0.9999883770942688,1.4722347259521484e-05,2.980232238769531e-07,1.4424324035644531e-05
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,366286,detector,"['tcp_win_max_in', 'longest_flow_pkt']","[[37, 21], [8, 15], [7, 35]]",0.9999971985816956,3.039836883544922e-06,1.1523564656945595e-06,1.8874804178503624e-06
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,427982,detector,"['tcp_win_max_in', 'dst_to_src_second_bytes', 'longest_flow_pkt']","[[18, 20, 29], [15, 37, 31], [21, 22, 30]]",0.9999942183494568,1.3053417205810547e-05,1.7285346984863281e-06,1.1324882507324219e-05
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,664579,detector,"['in_pkts', 'longest_flow_pkt']","[[22, 20], [5, 23], [25, 36]]",0.9999883770942688,1.4722347259521484e-05,-3.774960836144814e-07,1.5099843343135966e-05
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1028022,detector,"['max_ttl', 'server_tcp_flags', 'min_ttl']","[[11, 8, 28], [9, 4, 10], [27, 23, 18]]",0.9838306903839111,0.9835135110770352,0.05190795660018921,0.931605554476846
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1058443,detector,"['duration_in', 'duration_out']","[[16, 36], [28, 0], [31, 30]]",0.9973202347755432,0.0,0.0006549954414367676,-0.0006549954414367676
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1423118,detector,"['max_ttl', 'server_tcp_flags', 'min_ttl']","[[25, 23, 2], [6, 14, 10], [32, 33, 9]]",0.784816324710846,0.7848079749610406,0.23348340392112732,0.5513245710399133
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1476691,detector,"['duration_in', 'duration_out']","[[17, 15], [5, 1], [38, 37]]",0.9958123564720154,0.0,0.32634406040112174,-0.32634406040112174
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1547898,detector,"['max_ttl', 'server_tcp_flags', 'min_ttl']","[[21, 29, 35], [20, 3, 2], [0, 3, 8]]",0.9644758701324463,0.9644666546901135,0.018435359001159668,0.9460312956889538
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1563527,detector,"['num_pkts_128_to_256_bytes', 'num_pkts_256_to_512_bytes', 'num_pkts_512_to_1024_bytes']","[[29, 28, 11], [23, 11, 33], [15, 10, 29]]",0.9999814629554749,0.0,-1.2318293253210655e-06,1.2318293253210655e-06
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1849062,detector,"['max_ttl', 'server_tcp_flags']","[[8, 0], [6, 27], [2, 20]]",0.9733884334564209,0.9732549019536236,-0.0016987919807434082,0.974953693934367
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1871037,detector,"['tcp_win_max_in', 'num_pkts_1024_to_1514_bytes', 'num_pkts_up_to_128_bytes']","[[8, 7, 33], [7, 34, 9], [12, 34, 18]]",0.9999933242797852,1.2993812561035156e-05,-2.0066897074011436e-06,1.50005022684363e-05
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,1971157,detector,"['tcp_win_max_in', 'num_pkts_1024_to_1514_bytes']","[[18, 28], [31, 6], [0, 38]]",0.9999951720237732,3.635883331298828e-06,-1.9868214962137642e-08,3.6557515462609658e-06
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,504154,detector,"['tcp_win_max_out', 'retransmitted_in_bytes', 'dst_to_src_avg_throughput']","[[34, 5, 0], [0, 9, 15], [12, 3, 24]]",0.994419515132904,0.037791430950164795,9.69370206197473e-05,0.03769449392954505
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,526672,detector,"['in_bytes', 'dns_query_id', 'num_pkts_up_to_128_bytes']","[[26, 16, 34], [33, 20, 28], [2, 4, 6]]",0.9997532367706299,0.0017542839050292969,-3.123283386230469e-05,0.0017855167388916016
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,863548,detector,"['tcp_win_max_out', 'tcp_win_max_in', 'src_to_dst_second_bytes']","[[20, 28, 14], [28, 17, 20], [11, 33, 36]]",0.9998846650123596,0.00918501615524292,-2.6265780130985128e-05,0.009211281935373905
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,1247706,detector,"['tcp_win_max_in', 'tcp_win_max_out']","[[17, 22], [24, 2], [9, 19]]",0.9995118975639343,0.010961949825286865,-0.000270843505859375,0.01123279333114624
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,3228906,detector,"['in_bytes', 'dns_query_id', 'num_pkts_up_to_128_bytes']","[[7, 10, 9], [28, 13, 1], [2, 3, 5]]",0.9997142553329468,0.0016684532165527344,1.6371409098270284e-05,0.001652081807454464
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,5124375,detector,"['tcp_win_max_out', 'retransmitted_in_bytes']","[[37, 38], [20, 19], [10, 0]]",0.9942553043365479,0.03518611192703247,0.007059673468271854,0.028126438458760616
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,5998673,detector,"['tcp_win_max_out', 'tcp_win_max_in', 'duration_in']","[[38, 28, 9], [15, 12, 1], [30, 33, 34]]",0.9994713068008423,0.023875534534454346,0.0013449788093566895,0.022530555725097656
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,6392601,detector,"['in_bytes', 'dns_query_id', 'in_pkts']","[[29, 26, 13], [24, 12, 4], [6, 18, 15]]",0.9995917081832886,0.005409538745880127,0.0006495515505472449,0.004759987195332882
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,8475280,detector,"['tcp_win_max_in', 'tcp_win_max_out']","[[13, 29], [22, 1], [26, 33]]",0.9984330534934998,0.05086171627044678,-0.0002761681874593469,0.051137884457906124
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,8535025,detector,"['tcp_win_max_in', 'tcp_win_max_out']","[[16, 37], [22, 38], [17, 8]]",0.9993439316749573,0.010849058628082275,0.0018703937530517578,0.008978664875030518
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,8632909,detector,"['tcp_win_max_in', 'tcp_win_max_out']","[[25, 28], [28, 38], [4, 18]]",0.9995495080947876,0.010126769542694092,0.0008654197057088586,0.009261349836985233
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,9041050,detector,"['tcp_win_max_in', 'tcp_win_max_out']","[[33, 18], [31, 17], [5, 24]]",0.9995865821838379,0.009301483631134033,-0.00010852018992102419,0.009410003821055057
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,9563273,detector,"['in_bytes', 'dns_query_id', 'num_pkts_up_to_128_bytes']","[[11, 34, 31], [33, 23, 2], [8, 31, 33]]",0.9997370839118958,0.0018312931060791016,3.0199686685827842e-06,0.0018282731374105188
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,15077162,detector,"['tcp_win_max_out', 'icmp_ipv4_type', 'l7_proto']","[[32, 26, 14], [24, 18, 30], [2, 0, 3]]",0.9892460107803345,0.1313544511795044,0.0008525649706522254,0.13050188620885217
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,15680092,detector,"['tcp_win_max_out', 'tcp_win_max_in', 'retransmitted_in_pkts']","[[10, 30, 3], [15, 7, 16], [27, 21, 0]]",0.996950626373291,0.11115986108779907,-0.00014986594518029417,0.11130972703297937
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,16435528,detector,"['in_bytes', 'dns_query_id', 'num_pkts_up_to_128_bytes']","[[38, 33, 34], [29, 22, 33], [11, 7, 21]]",0.9997370839118958,0.0018312931060791016,-2.384185791015625e-07,0.0018315315246582031
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,16716642,detector,"['tcp_win_max_out', 'tcp_win_max_in', 'duration_in']","[[27, 30, 29], [21, 36, 30], [5, 13, 7]]",0.9994685649871826,0.01770174503326416,-9.655952453613281e-06,0.017711400985717773
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,187230,own,"['duration_in', 'duration_out', 'num_pkts_1024_to_1514_bytes']","[[15, 11, 4], [2, 0, 36], [3, 12, 11]]",0.7143144607543945,0.0,0.004749476909637451,-0.004749476909637451
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,427982,own,"['duration_in', 'duration_out']","[[18, 20], [15, 37], [21, 22]]",0.6713148355484009,0.0,-0.0037147005399068567,0.0037147005399068567
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,553221,own,"['in_pkts', 'num_pkts_1024_to_1514_bytes']","[[22, 23], [1, 11], [23, 31]]",0.702329158782959,-0.005503296852111816,-0.0027794639269510535,-0.002723832925160763
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,664579,own,"['duration_in', 'duration_out', 'num_pkts_1024_to_1514_bytes']","[[22, 20, 31], [5, 23, 13], [25, 36, 20]]",0.6990057229995728,0.0,-0.004608472188313839,0.004608472188313839
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1028022,own,"['duration_in', 'duration_out']","[[11, 8], [9, 4], [27, 23]]",0.7063122987747192,0.0,0.002981742223103878,-0.002981742223103878
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1048656,own,"['duration_in', 'duration_out']","[[12, 33], [32, 2], [34, 22]]",0.6971556544303894,0.0,0.0001782377560933801,-0.0001782377560933801
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1058443,own,"['duration_in', 'duration_out']","[[16, 36], [28, 0], [31, 30]]",0.7392257452011108,0.0,0.00910794734954834,-0.00910794734954834
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1236137,own,"['duration_in', 'duration_out', 'num_pkts_1024_to_1514_bytes']","[[18, 29, 32], [24, 1, 35], [22, 0, 32]]",0.725274384021759,0.0,-0.0012020071347554895,0.0012020071347554895
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1245641,own,"['duration_in', 'duration_out', 'num_pkts_1024_to_1514_bytes']","[[16, 6, 33], [33, 8, 15], [19, 8, 31]]",0.7083224654197693,-0.02118903398513794,-0.003288129965464237,-0.017900904019673702
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,1423118,own,"['duration_in', 'duration_out', 'num_pkts_1024_to_1514_bytes']","[[25, 23, 2], [6, 14, 10], [32, 33, 9]]",0.7392842173576355,0.0,0.010291039943695068,-0.010291039943695068
